Country	EPI Score	10 Year Change
Denmark	82.5	7.3
Luxembourg	82.3	11.6
Switzerland	81.5	8.6
United Kingdom	81.3	9
France	80	5.8
Austria	79.6	5.4
Finland	78.9	6
Sweden	78.7	5.3
Norway	77.7	7.6
Germany	77.2	1.2
Netherlands	75.3	1.5
Japan	75.1	-0.5
Australia	74.9	5.5
Spain	74.3	8.6
Belgium	73.3	2.1
Ireland	72.8	2.9
Iceland	72.3	0.4
Slovenia	72	4.6
New Zealand	71.3	1.8
Czech Republic	71	4
Canada	71	3.7
Italy	71	1.1
Malta	70.7	11.6
United States	69.3	2.9
Greece	69.1	3.4
Slovakia	68.3	3.9
Portugal	67	4
South Korea	66.5	2.2
Israel	65.8	5.2
Estonia	65.3	4.3
Cyprus	64.8	6.3
Romania	64.7	8.1
Hungary	63.7	3.3
Croatia	63.1	13.4
Lithuania	62.9	5.2
Latvia	61.6	5
Poland	60.9	1.1
Seychelles	58.2	14.8
Singapore	58.1	-8.4
Taiwan	57.2	4.6
Bulgaria	57	4.2
United Arab Emirates	55.6	11.3
North Macedonia	55.4	2.2
Chile	55.3	3.7
Serbia	55.2	7
Brunei	54.8	2
Kuwait	53.6	12.8
Jordan	53.4	11.2
Belarus	53	2.3
Colombia	52.9	0.9
Mexico	52.6	7.4
Costa Rica	52.5	1
Armenia	52.3	4.5
Argentina	52.2	5
Brazil	51.2	4.9
Bahrain	51	17.3
Ecuador	51	3.9
Russia	50.5	3.9
Venezuela	50.3	-0.5
Ukraine	49.5	0.7
Uruguay	49.1	1
Albania	49	10.2
Antigua And Barbuda	48.5	3.3
Saint Vincent And the Grenadines	48.4	6.1
Cuba	48.4	0.8
Jamaica	48.2	2
Iran	48	9.1
Malaysia	47.9	4.4
Trinidad And Tobago	47.5	10.7
Panama	47.3	3.3
Tunisia	46.7	6.4
Azerbaijan	46.5	4
Paraguay	46.4	-4.9
Montenegro	46.3	7.3
Dominican Republic	46.3	3
Gabon	45.8	4.4
Barbados	45.6	0.9
Bosnia And Herzegovina	45.4	10.9
Lebanon	45.4	1.1
Thailand	45.4	4.1
Suriname	45.2	-7.1
Tonga	45.1	2.4
Mauritius	45.1	6.2
Algeria	44.8	0.5
Kazakhstan	44.7	9
Dominica	44.6	1.1
Moldova	44.4	-2.3
Bolivia	44.3	-0.3
Uzbekistan	44.3	3.1
Peru	44	-0.8
Saudi Arabia	44	6.4
Turkmenistan	43.9	8.4
Bahamas	43.5	-2.4
Egypt	43.3	7.7
Grenada	43.1	5.4
Saint Lucia	43.1	-1.4
El Salvador	43.1	5.6
South Africa	43.1	8.5
Turkey	42.6	2.1
Morocco	42.3	13.3
Belize	41.9	-2
Georgia	41.3	-1.3
Botswana	40.4	-1.1
Namibia	40.2	9.1
Kyrgyzstan	39.8	-1.9
Iraq	39.5	0.2
Bhutan	39.3	-9.6
Nicaragua	39.2	0.1
Sri Lanka	39	-0.6
Oman	38.5	11
Philippines	38.4	-4.1
Malawi	38.3	-2.6
Burkina Faso	38.3	6.9
Tajikistan	38.2	-0.7
Equatorial Guinea	38.1	9.6
Honduras	37.8	6.5
Indonesia	37.8	4.1
Kiribati	37.7	6.2
Sao Tome And Principe	37.6	5.3
Samoa	37.3	-3.9
China	37.3	8.4
Qatar	37.1	-4.8
Zimbabwe	37	-7.3
Central African Republic	36.9	-3.9
DR Congo	36.4	-0.4
Guyana	35.9	-6.4
Maldives	35.6	6.7
Uganda	35.6	1.8
Timor Leste	35.3	-3
Laos	34.8	-2.8
Sudan	34.8	8.4
Zambia	34.7	-7.3
Kenya	34.7
Fiji	34.4	-2.6
Ethiopia	34.4	0.2
Mozambique	33.9	5.3
Eswatini	33.8	-1.6
Rwanda	33.8	-1.5
Cambodia	33.6	-0.2
Cameroon	33.6	1.5
Vietnam	33.4	5.4
Pakistan	33.1	6.1
Micronesia	33	-4.8
Nepal	32.7	-8.1
Papua New Guinea	32.4	7.7
Mongolia	32.2	-7.6
Comoros	32.1	-1.2
Guatemala	31.8	-0.3
Tanzania	31.1	1.7
Nigeria	31	3.6
Marshall Islands	30.8	1.1
Republic of the Congo	30.8	-1.5
Niger	30.8	-8.1
Senegal	30.7	-2.7
Eritrea	30.4	-3.7
Benin	30	2.7
Angola	29.7	5.3
Togo	29.5	-2.1
Mali	29.4	-3.3
Guinea Bissau	29.1	-0.9
Bangladesh	29	-0.1
Vanuatu	28.9	-11.9
Djibouti	28.1	2.3
Lesotho	28	-1
Gambia	27.9	3.6
Mauritania	27.7	0.3
Ghana	27.6	-4.4
India	27.6
Haiti	27	4.2
Burundi	27	-11.1
Solomon Islands	26.7	-2
Chad	26.7	-0.9
Madagascar	26.5	-6.6
Guinea	26.4	-4.2
Ivory Coast	25.8	-8.5
Sierra Leone	25.7	0.7
Afghanistan	25.5	5
Myanmar	25.1	-1.2
Liberia	22.6	-3.7
